,name,type,episodes,members,score_members,rating,genre,dates,url
57,Death Note,TV,37.0,2041359.0,1396667.0,8.63,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",        Oct 2006 - Jun 2007,https://myanimelist.net/anime/1535/Death_Note
58,Ping Pong the Animation,TV,11.0,215476.0,103683.0,8.63,"['Drama', 'Psychological', 'Seinen', 'Sports']",        Apr 2014 - Jun 2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
59,Bakuman. 3rd SeasonBakuman.,TV,25.0,238454.0,139170.0,8.62,"['Comedy', 'Drama', 'Romance', 'Shounen']",        Oct 2012 - Mar 2013,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
60,Fate/Zero 2nd SeasonFate/Zero Season 2,TV,12.0,681762.0,424758.0,8.62,"['Action', 'Supernatural', 'Magic', 'Fantasy']",        Apr 2012 - Jun 2012,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
61,Hajime no Ippo: RisingHajime No Ippo: The Fighting!,TV,25.0,148663.0,83154.0,8.62,"['Comedy', 'Sports', 'Drama', 'Shounen']",        Oct 2013 - Mar 2014,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
62,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai DensetsuKONOSUBA -God's blessing on this wonderful world!- Legend of Crimson,Movie,1.0,229056.0,110075.0,8.62,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']",        Aug 2019 - Aug 2019,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo__Kurenai_Densetsu
63,Natsume Yuujinchou SanNatsume's Book of Friends Season 3,TV,13.0,177770.0,84915.0,8.62,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Jul 2011 - Sep 2011,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
64,Violet Evergarden,TV,13.0,743053.0,355141.0,8.62,"['Slice of Life', 'Drama', 'Fantasy']",        Jan 2018 - Apr 2018,https://myanimelist.net/anime/33352/Violet_Evergarden
65,Yojouhan Shinwa TaikeiThe Tatami Galaxy,TV,11.0,257712.0,84814.0,8.62,"['Mystery', 'Comedy', 'Psychological', 'Romance']",        Apr 2010 - Jul 2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
66,Shouwa Genroku Rakugo ShinjuuShowa Genroku Rakugo Shinju,TV,13.0,193083.0,64303.0,8.61,"['Drama', 'Historical', 'Josei']",        Jan 2016 - Apr 2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
67,Haikyuu!!Haikyu!!,TV,25.0,805492.0,469068.0,8.6,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Apr 2014 - Sep 2014,https://myanimelist.net/anime/20583/Haikyuu
68,Kimi no Suizou wo TabetaiI want to eat your pancreas,Movie,1.0,241863.0,122481.0,8.6,['Drama'],        Sep 2018 - Sep 2018,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
69,Mushishi: HihamukageThe Shadow that Devours the Sun,Special,1.0,91648.0,46083.0,8.6,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",        Jan 2014 - Jan 2014,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
70,Natsume Yuujinchou GoNatsume's Book of Friends Season 5,TV,11.0,116103.0,46103.0,8.6,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",        Oct 2016 - Dec 2016,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
71,Sora yori mo Tooi BashoA Place Further Than The Universe,TV,13.0,268077.0,113698.0,8.6,"['Adventure', 'Comedy', 'Drama']",        Jan 2018 - Mar 2018,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
72,Chihayafuru 3,TV,24.0,64469.0,21236.0,8.59,"['Game', 'Slice of Life', 'Sports', 'Drama', 'School', 'Josei']",        Oct 2019 - Mar 2020,https://myanimelist.net/anime/37379/Chihayafuru_3
