,name,type,episodes,members,score_members,rating,genre,dates,url,rating_type
14622,Kana Kana Kazoku x Himitsukessha Taka no Tsume Collaboration Film,ONA,1.0,232.0,,5.477856464111444,['Comedy'],        Jun 2014 - Jun 2014,https://myanimelist.net/anime/30442/Kana_Kana_Kazoku_x_Himitsukessha_Taka_no_Tsume_Collaboration_Film,modelled
14623,Kana Kana Kazoku: Rika in Wonderland,ONA,1.0,195.0,,5.421655704184376,['Comedy'],        Nov 2014 - Nov 2014,https://myanimelist.net/anime/31603/Kana_Kana_Kazoku__Rika_in_Wonderland,modelled
14624,Kana Kana Kazoku: Shinnen no Goaisatsu,ONA,1.0,228.0,,5.472230577959152,['Comedy'],        Jan 2015 - Jan 2015,https://myanimelist.net/anime/30443/Kana_Kana_Kazoku__Shinnen_no_Goaisatsu,modelled
14625,Kana Kana Kazoku: Stop Rubella,ONA,1.0,207.0,,5.4409737001494385,['Comedy'],        Dec 2014 - Dec 2014,https://myanimelist.net/anime/30444/Kana_Kana_Kazoku__Stop_Rubella,modelled
14626,Kanabun no KoushinScarab Beetle's Parade,ONA,1.0,113.0,,5.245161054820532,"['Music', 'Dementia']",        May 2011 - May 2011,https://myanimelist.net/anime/38508/Kanabun_no_Koushin,modelled
14627,Kanai,ONA,1.0,245.0,,5.495492881435399,['Mecha'],        Mar 2011 - Mar 2011,https://myanimelist.net/anime/24049/Kanai,modelled
14628,Kanbee-kun ga Yuku,Special,3.0,146.0,,5.328042790113687,"['Comedy', 'Historical', 'Kids']",        Jan 2014 - Jan 2014,https://myanimelist.net/anime/21913/Kanbee-kun_ga_Yuku,modelled
14629,Kaneko Misuzu: Yasashisa no Fuukei,OVA,1.0,118.0,,5.259166718540467,"['Drama', 'Kids']",        2005 - 2005,https://myanimelist.net/anime/26333/Kaneko_Misuzu__Yasashisa_no_Fuukei,modelled
14630,Kangaeru Jikan,Movie,1.0,32.0,,4.837041514396302,"['Dementia', 'Music']",        Jul 2012 - Jul 2012,https://myanimelist.net/anime/41797/Kangaeru_Jikan,modelled
14631,Kangetsu Ittou: Akuryou Kiri,OVA,2.0,233.0,,5.47924777937516,"['Action', 'Martial Arts', 'Samurai']",        Oct 1989 - Dec 1989,https://myanimelist.net/anime/18583/Kangetsu_Ittou__Akuryou_Kiri,modelled
14632,Kankara Sanshin,Movie,1.0,274.0,,5.531680588918779,"['Drama', 'Historical']",        Aug 1989 - Aug 1989,https://myanimelist.net/anime/17217/Kankara_Sanshin,modelled
14633,Kankou Taisen Saitama: Sakuya no Tatakai,ONA,4.0,200.0,,5.429845516309873,[],        Apr 2011 - May 2011,https://myanimelist.net/anime/30435/Kankou_Taisen_Saitama__Sakuya_no_Tatakai,modelled
14634,Kansuke-san to Fushigi na Jitensha,Movie,1.0,122.0,,5.269950393774025,"['Fantasy', 'Kids']",        1997 - 1997,https://myanimelist.net/anime/23727/Kansuke-san_to_Fushigi_na_Jitensha,modelled
14635,Kao Haru CMs,Special,,135.0,,5.302703981942677,['Slice of Life'],        Dec 2018 - ,https://myanimelist.net/anime/38925/Kao_Haru_CMs,modelled
14636,Kappa Kawatarou,Movie,1.0,259.0,,5.513468633565367,"['Kids', 'Supernatural']",        Apr 1954 - Apr 1954,https://myanimelist.net/anime/23639/Kappa_Kawatarou,modelled
14637,Kappa no Kui Kuo Kua,Music,1.0,105.0,,5.221408715254329,"['Kids', 'Music']",        Feb 1975 - Feb 1975,https://myanimelist.net/anime/39877/Kappa_no_Kui_Kuo_Kua,modelled
14638,Kappa no Sanpei,Movie,1.0,236.0,,5.483386176545133,"['Adventure', 'Kids', 'Supernatural']",        Mar 1993 - Mar 1993,https://myanimelist.net/anime/9584/Kappa_no_Sanpei,modelled
14639,Kappa no Suribachi,Movie,1.0,126.0,,5.280386147166961,"['Kids', 'Fantasy']",        Mar 2012 - Mar 2012,https://myanimelist.net/anime/29491/Kappa_no_Suribachi,modelled
14640,Kappa no Ude,Movie,1.0,154.0,,5.345299163963185,['Fantasy'],        2009 - 2009,https://myanimelist.net/anime/31506/Kappa_no_Ude,modelled
14641,KappamakiKappamaki and the Sushi Kids,TV,130.0,191.0,,5.41495120926408,"['Comedy', 'Slice of Life']",        Mar 2003 - Sep 2003,https://myanimelist.net/anime/20123/Kappamaki,modelled
14642,Kappapa,Music,1.0,54.0,,5.006301980985891,"['Comedy', 'Kids', 'Music']",        Apr 1985 - Apr 1985,https://myanimelist.net/anime/40917/Kappapa,modelled
14643,Kara no TamagoA Wind Egg,Movie,1.0,55.0,,5.012237565869482,['Dementia'],        2012 - 2012,https://myanimelist.net/anime/38848/Kara_no_Tamago,modelled
14644,"Karakuri Kengou Den Musashi LordMusashi, the Samurai Lord",TV,50.0,416.0,,5.666752102376838,"['Action', 'Adventure', 'Mecha']",        Oct 1990 - Sep 1991,https://myanimelist.net/anime/8065/Karakuri_Kengou_Den_Musashi_Lord,modelled
14645,Karaoke Senshi Mike-tarou,TV,20.0,277.0,,5.535203095234127,"['Kids', 'Music']",        Apr 1994 - Mar 1995,https://myanimelist.net/anime/5140/Karaoke_Senshi_Mike-tarou,modelled
14646,Karasu no Panya-san/Dorobou Gakkou,OVA,2.0,125.0,,5.277808601257326,['Kids'],        Sep 1998 - Sep 1998,https://myanimelist.net/anime/27841/Karasu_no_Panya-san_Dorobou_Gakkou,modelled
14647,Karasu no Puuta,TV,2.0,132.0,,5.295434455786782,['Kids'],        Jun 1995 - Oct 1995,https://myanimelist.net/anime/29489/Karasu_no_Puuta,modelled
14648,Karasu to Kaki no Tane,Music,1.0,83.0,,5.145352110427954,"['Music', 'Kids']",        Oct 1966 - Oct 1966,https://myanimelist.net/anime/37190/Karasu_to_Kaki_no_Tane,modelled
14649,Karate Baka IchidaiKarate Master,TV,47.0,761.0,,5.862117414254068,"['Adventure', 'Historical', 'Sports', 'Martial Arts']",        Oct 1973 - Sep 1974,https://myanimelist.net/anime/7479/Karate_Baka_Ichidai,modelled
14650,Kareshi wa Hammerhead Shark,TV,,210.0,,5.445628173258995,"['Slice of Life', 'Comedy', 'Kids']",        Jan 2015 - ,https://myanimelist.net/anime/29361/Kareshi_wa_Hammerhead_Shark,modelled
14651,Kariage-kun,TV,59.0,245.0,,5.495492881435399,"['Comedy', 'Seinen', 'Slice of Life']",        Oct 1989 - Dec 1990,https://myanimelist.net/anime/20127/Kariage-kun,modelled
14652,Karl to Fushigi na Tou,TV,26.0,294.0,,5.554470313348031,"['Adventure', 'Mystery', 'Kids', 'Fantasy']",        Oct 2010 - Apr 2011,https://myanimelist.net/anime/9371/Karl_to_Fushigi_na_Tou,modelled
14653,Karrimor Mountain Club,ONA,4.0,174.0,,5.384796980971529,"['Adventure', 'Slice of Life']",        Jul 2018 - Jul 2018,https://myanimelist.net/anime/39197/Karrimor_Mountain_Club,modelled
14654,Karrimor Mountain Club 2,ONA,3.0,79.0,,5.129374527109491,"['Adventure', 'Slice of Life']",        Apr 2019 - Apr 2019,https://myanimelist.net/anime/40479/Karrimor_Mountain_Club_2,modelled
14655,Karugamo Oyako no Hi no Youjin,OVA,1.0,95.0,,5.189033688041853,"['Drama', 'Kids']",        2005 - 2005,https://myanimelist.net/anime/28571/Karugamo_Oyako_no_Hi_no_Youjin,modelled
14656,Karugamo Oyako no Koutsuu Anzen,OVA,1.0,79.0,,5.129374527109491,['Kids'],         - ,https://myanimelist.net/anime/35168/Karugamo_Oyako_no_Koutsuu_Anzen,modelled
14757,Norasco (TV),TV,43.0,240.0,,5.488822948222506,"['Slice of Life', 'Comedy']",        May 2014 - Mar 2015,https://myanimelist.net/anime/31019/Norasco_TV,modelled
14758,Norasco Specials,Special,6.0,115.0,,5.250836293372053,"['Comedy', 'Slice of Life']",        Dec 2014 - Aug 2015,https://myanimelist.net/anime/34091/Norasco_Specials,modelled
14759,Norasco: Cinema Point Card-hen,Movie,10.0,152.0,,5.3410706030943995,"['Comedy', 'Slice of Life']",        Apr 2014 - Mar 2015,https://myanimelist.net/anime/31020/Norasco__Cinema_Point_Card-hen,modelled
14760,Nori P-chan,OVA,1.0,119.0,,5.261896526302824,"['Kids', 'Slice of Life']",        Dec 1989 - Dec 1989,https://myanimelist.net/anime/33174/Nori_P-chan,modelled
14761,Norimono Atsumare: Hit Song-shuu,OVA,6.0,117.0,,5.2564136780923425,['Music'],        Feb 1994 - Feb 1994,https://myanimelist.net/anime/32904/Norimono_Atsumare__Hit_Song-shuu,modelled
14762,Norimono Man: Mobile Land no Car-kun,TV,,70.0,,5.090248740389576,"['Cars', 'Comedy', 'Kids', 'Slice of Life']",        Apr 2020 - ,https://myanimelist.net/anime/41384/Norimono_Man__Mobile_Land_no_Car-kun,modelled
14763,Norman the Snowman: Kita no Kuni no Aurora (Kari),Movie,1.0,189.0,,5.411546122031713,"['Fantasy', 'Kids']",        Nov 2013 - Nov 2013,https://myanimelist.net/anime/20799/Norman_the_Snowman__Kita_no_Kuni_no_Aurora_Kari,modelled
14764,Noroma na JijiAn Old Fool,Movie,1.0,143.0,,5.321326694888567,['Historical'],        1924 - 1924,https://myanimelist.net/anime/28689/Noroma_na_Jiji,modelled
14765,Nosferatu,Music,1.0,191.0,,5.41495120926408,"['Dementia', 'Music']",        Feb 2012 - Feb 2012,https://myanimelist.net/anime/36115/Nosferatu,modelled
14766,Notari Matsutarou,OVA,10.0,488.0,,5.718389309783358,['Sports'],        Nov 1990 - Apr 1991,https://myanimelist.net/anime/7836/Notari_Matsutarou,modelled
14767,Notation of Rotating Earth,Movie,1.0,118.0,,5.259166718540467,['Music'],        Sep 2009 - Sep 2009,https://myanimelist.net/anime/39306/Notation_of_Rotating_Earth,modelled
14768,Nothing's Gonna Change,Music,1.0,155.0,,5.347392894898085,"['Music', 'Sci-Fi']",        1999 - 1999,https://myanimelist.net/anime/36766/Nothings_Gonna_Change,modelled
14769,Notteke Explet's,TV,26.0,121.0,,5.267287989443091,['Kids'],        Apr 2004 - Jul 2004,https://myanimelist.net/anime/29740/Notteke_Explets,modelled
14770,Nu Sheng Su She Ri Chang,TV,12.0,101.0,,5.208844794316024,"['Slice of Life', 'Comedy']",        Nov 2016 - Feb 2017,https://myanimelist.net/anime/37927/Nu_Sheng_Su_She_Ri_Chang,modelled
14771,Nu Sheng Su She Ri Chang Di 2 Ji,ONA,7.0,57.0,,5.023791661949819,[],        Oct 2017 - Jan 2018,https://myanimelist.net/anime/40088/Nu_Sheng_Su_She_Ri_Chang_Di_2_Ji,modelled
14772,Nui Nui Hinobori San KyoudaiThe Three Nui Nui Hinobori Brothers,ONA,4.0,409.0,,5.661262607970943,['Slice of Life'],        Apr 2017 - Dec 2017,https://myanimelist.net/anime/35443/Nui_Nui_Hinobori_San_Kyoudai,modelled
14773,Nukazuke no Uta,Music,1.0,68.0,,5.080871843261667,"['Kids', 'Music']",        Apr 2005 - Apr 2005,https://myanimelist.net/anime/38322/Nukazuke_no_Uta,modelled
14774,Nukko.,TV,24.0,219.0,,5.459202764978439,['Comedy'],        Apr 2012 - Sep 2012,https://myanimelist.net/anime/22585/Nukko,modelled
14775,Nyago DanceThe Cat Purr Dance,Movie,1.0,190.0,,5.413253146046519,['Kids'],        1932 - 1932,https://myanimelist.net/anime/35747/Nyago_Dance,modelled
14776,Nyamen,TV,12.0,861.0,,5.902054663000158,['Comedy'],        Jan 2014 - Mar 2014,https://myanimelist.net/anime/22849/Nyamen,modelled
14777,Nyamen: Tenkai Daiichi Joshi Koukou Bunka Matsuri Tokubetsu Eizou,Special,1.0,279.0,,5.53753030167547,['Music'],        Jul 2014 - Jul 2014,https://myanimelist.net/anime/31166/Nyamen__Tenkai_Daiichi_Joshi_Koukou_Bunka_Matsuri_Tokubetsu_Eizou,modelled
14778,Nyancos: Hello! Our Brilliant Future,OVA,1.0,193.0,,5.418320826192934,"['Sci-Fi', 'Space']",        Dec 2003 - Dec 2003,https://myanimelist.net/anime/33176/Nyancos__Hello_Our_Brilliant_Future,modelled
14779,Nyancos: Hello! Our Brilliant Future Digest,Special,1.0,158.0,,5.3535939851141565,"['Sci-Fi', 'Space']",        Dec 2003 - Dec 2003,https://myanimelist.net/anime/33422/Nyancos__Hello_Our_Brilliant_Future_Digest,modelled
14780,Nyanfuru,TV,124.0,413.0,,5.6644108595862885,"['Music', 'Comedy']",        Feb 2014 - Sep 2016,https://myanimelist.net/anime/24845/Nyanfuru,modelled
14781,Nyani ga Nyandaa Nyandaa Kamen no Koutsuu Anzen,OVA,1.0,99.0,,5.202374972646867,['Kids'],         - ,https://myanimelist.net/anime/35160/Nyani_ga_Nyandaa_Nyandaa_Kamen_no_Koutsuu_Anzen,modelled
