Unnamed: 0,name,type,episodes,members,score_members,rating,genre,dates,url
7,Zan Sayonara Zetsubou Sensei Bangaichi,OVA,2.0,31854.0,13187.0,7.82,"['Comedy', 'Parody', 'School', 'Shounen']",        Nov 2009 - Feb 2010,https://myanimelist.net/anime/7044/Zan_Sayonara_Zetsubou_Sensei_Bangaichi
8,Bleach,TV,366.0,1088828.0,557735.0,7.81,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",        Oct 2004 - Mar 2012,https://myanimelist.net/anime/269/Bleach
9,"Chuunibyou demo Koi ga Shitai!Love, Chunibyo & Other Delusions!",TV,12.0,771877.0,437975.0,7.81,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",        Oct 2012 - Dec 2012,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai
10,Detective Conan OVA 10: Kid in Trap Island,OVA,1.0,13009.0,6339.0,7.81,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",        Apr 2010 - Apr 2010,https://myanimelist.net/anime/8609/Detective_Conan_OVA_10__Kid_in_Trap_Island
11,Gochuumon wa Usagi Desu ka??: Dear My SisterIs the order a rabbit?? Dear My Sister,Movie,1.0,22777.0,7673.0,7.81,"['Slice of Life', 'Comedy']",        Nov 2017 - Nov 2017,https://myanimelist.net/anime/33280/Gochuumon_wa_Usagi_Desu_ka__Dear_My_Sister
12,Hadashi no GenBarefoot Gen,Movie,1.0,31525.0,12371.0,7.81,"['Drama', 'Historical']",        Jul 1983 - Jul 1983,https://myanimelist.net/anime/1824/Hadashi_no_Gen
13,Haikyuu!!: Riku vs. Kuu,OVA,2.0,78390.0,39960.0,7.81,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",        Jan 2020 - Jan 2020,https://myanimelist.net/anime/40262/Haikyuu__Riku_vs_Kuu
14,Hello World,Movie,1.0,50862.0,15903.0,7.81,['Sci-Fi'],        Sep 2019 - Sep 2019,https://myanimelist.net/anime/38816/Hello_World
15,Hidamari Sketch x SP,Special,2.0,11523.0,5585.0,7.81,"['Slice of Life', 'Comedy', 'School', 'Seinen']",        Oct 2011 - Nov 2011,https://myanimelist.net/anime/11237/Hidamari_Sketch_x_SP
16,Hoozuki no ReitetsuHozuki's Coolheadedness,TV,13.0,93607.0,31659.0,7.81,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",        Jan 2014 - Apr 2014,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu
17,InuYasha Movie 3: Tenka Hadou no KenInuYasha the Movie 3: Swords of an Honorable Ruler,Movie,1.0,72000.0,39880.0,7.81,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",        Dec 2003 - Dec 2003,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken
18,Jinrui wa Suitai ShimashitaHumanity Has Declined,TV,12.0,145545.0,47978.0,7.81,"['Comedy', 'Fantasy', 'Seinen']",        Jul 2012 - Sep 2012,https://myanimelist.net/anime/10357/Jinrui_wa_Suitai_Shimashita
19,Kyoukai no KanataBeyond the Boundary,TV,12.0,708763.0,348534.0,7.81,"['Slice of Life', 'Supernatural', 'Fantasy']",        Oct 2013 - Dec 2013,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata
20,Lupin III vs. Detective Conan,Special,1.0,23940.0,12869.0,7.81,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Shounen']",        Mar 2009 - Mar 2009,https://myanimelist.net/anime/6115/Lupin_III_vs_Detective_Conan
21,New Initial D Movie: Legend 1 - KakuseiInitial D Legend 1 Awakening,Movie,1.0,19361.0,9121.0,7.81,"['Action', 'Cars', 'Seinen', 'Sports']",        Aug 2014 - Aug 2014,https://myanimelist.net/anime/19613/New_Initial_D_Movie__Legend_1_-_Kakusei
22,Seto no HanayomeMy Bride is a Mermaid,TV,26.0,245583.0,106847.0,7.81,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",        Apr 2007 - Oct 2007,https://myanimelist.net/anime/2104/Seto_no_Hanayome
23,Sidonia no Kishi: Daikyuu Wakusei SenekiKnights of Sidonia: Battle for Planet Nine,TV,12.0,94669.0,50961.0,7.81,"['Action', 'Sci-Fi', 'Space', 'Mecha', 'Seinen']",        Apr 2015 - Jun 2015,https://myanimelist.net/anime/24893/Sidonia_no_Kishi__Daikyuu_Wakusei_Seneki
24,Tegamibachi ReverseTegami Bachi: Letter Bee Reverse,TV,25.0,50047.0,21651.0,7.81,"['Adventure', 'Supernatural', 'Fantasy', 'Shounen']",        Oct 2010 - Mar 2011,https://myanimelist.net/anime/8311/Tegamibachi_Reverse
25,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,Movie,1.0,10083.0,3920.0,7.81,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama']",        Dec 2014 - Dec 2014,https://myanimelist.net/anime/23249/Uchuu_Senkan_Yamato_2199__Hoshimeguru_Hakobune
26,Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,1.0,11076.0,4971.0,7.81,"['Action', 'Adventure', 'Comedy', 'Romance', 'Drama', 'Sci-Fi']",        Feb 1984 - Feb 1984,https://myanimelist.net/anime/1921/Urusei_Yatsura_Movie_2__Beautiful_Dreamer
27,"Yesterday wo UtatteSing ""Yesterday"" for Me",TV,18.0,129934.0,21456.0,7.79,"['Slice of Life', 'Drama', 'Romance', 'Seinen']",        Apr 2020 - ,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte
